SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Материал наружных стен дома"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Материал наружных стен дома";
"Гагинский район";"Лицо";"Панель";1413
"Гагинский район";"Лицо";"Блок";273
"Гагинский район";"Лицо";"Дерево";9061
"Гагинский район";"Лицо";"Смешанный материал";336
"Гагинский район";"Лицо";"Другой материал";43
"Городецкий район";"Лицо";"Не указано";2700
"Городецкий район";"Лицо";"Кирпич, камень";19424
"Городецкий район";"Лицо";"Панель";27552
"Городецкий район";"Лицо";"Блок";2702
"Городецкий район";"Лицо";"Дерево";10013
"Городецкий район";"Лицо";"Смешанный материал";1534
"Городецкий район";"Лицо";"Другой материал";680
"Дальнеконстантиновский район";"Лицо";"Не указано";485
"Дальнеконстантиновский район";"Лицо";"Кирпич, камень";11363
"Дальнеконстантиновский район";"Лицо";"Панель";5896
"Дальнеконстантиновский район";"Лицо";"Блок";85
"Дальнеконстантиновский район";"Лицо";"Дерево";5941
"Дальнеконстантиновский район";"Лицо";"Смешанный материал";684
"Дальнеконстантиновский район";"Лицо";"Другой материал";274
"Володарский район";"Лицо";"Не указано";1504
"Володарский район";"Лицо";"Кирпич, камень";16106
"Володарский район";"Лицо";"Панель";24997
"Володарский район";"Лицо";"Блок";1292
"Володарский район";"Лицо";"Дерево";6453
"Володарский район";"Лицо";"Смешанный материал";1394
"Володарский район";"Лицо";"Другой материал";68
"Дивеевский район";"Лицо";"Не указано";340
"Дивеевский район";"Лицо";"Кирпич, камень";8170
"Дивеевский район";"Лицо";"Панель";133
"Дивеевский район";"Лицо";"Блок";238
"Дивеевский район";"Лицо";"Дерево";7132
"Дивеевский район";"Лицо";"Смешанный материал";1111
"Дивеевский район";"Лицо";"Другой материал";180
"Княгининский район";"Лицо";"Не указано";301
"Княгининский район";"Лицо";"Кирпич, камень";6931
"Княгининский район";"Лицо";"Панель";1146
"Княгининский район";"Лицо";"Блок";317
"Княгининский район";"Лицо";"Дерево";3152
"Княгининский район";"Лицо";"Смешанный материал";762
"Княгининский район";"Лицо";"Другой материал";69
"Ковернинский район";"Лицо";"Не указано";340
"Ковернинский район";"Лицо";"Кирпич, камень";5577
"Ковернинский район";"Лицо";"Панель";2620
"Ковернинский район";"Лицо";"Блок";74
"Ковернинский район";"Лицо";"Дерево";12158
"Ковернинский район";"Лицо";"Смешанный материал";602
"Ковернинский район";"Лицо";"Другой материал";0
"Краснобаковский район";"Лицо";"Не указано";725
"Краснобаковский район";"Лицо";"Кирпич, камень";7797
"Краснобаковский район";"Лицо";"Панель";1276
"Краснобаковский район";"Лицо";"Блок";433
"Краснобаковский район";"Лицо";"Дерево";11319
"Краснобаковский район";"Лицо";"Смешанный материал";415
"Краснобаковский район";"Лицо";"Другой материал";682
