SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Материал наружных стен дома"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Материал наружных стен дома";
"Города республиканского подчинения Республики Карелия";"Лицо";"Не указано";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Кирпич, камень";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Панель";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Блок";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Дерево";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Смешанный материал";0
"Города республиканского подчинения Республики Карелия";"Лицо";"Другой материал";0
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Не указано";20068
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Кирпич, камень";55470
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Панель";134001
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Блок";22763
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Дерево";28303
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Смешанный материал";2553
"Сельские населенные пункты, подчиненные администрации г. Петрозаводск";"Лицо";"Другой материал";615
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Не указано";230
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Кирпич, камень";3922
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Панель";838
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Блок";4178
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Дерево";4872
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Смешанный материал";1170
"Сельские населенные пункты, подчиненные администрации г. Кемь";"Лицо";"Другой материал";11
"г. Кондопога";"Лицо";"Не указано";1655
"г. Кондопога";"Лицо";"Кирпич, камень";9567
"г. Кондопога";"Лицо";"Панель";10977
"г. Кондопога";"Лицо";"Блок";8735
"г. Кондопога";"Лицо";"Дерево";3372
"г. Кондопога";"Лицо";"Смешанный материал";494
"г. Кондопога";"Лицо";"Другой материал";10
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Не указано";2263
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Кирпич, камень";551
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Панель";25627
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Блок";817
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Дерево";674
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Смешанный материал";42
"Сельские населенные пункты, подчиненные администрации г. Костомукша";"Лицо";"Другой материал";9
"г. Питкяранта";"Лицо";"Не указано";439
"г. Питкяранта";"Лицо";"Кирпич, камень";6058
"г. Питкяранта";"Лицо";"Панель";1829
"г. Питкяранта";"Лицо";"Блок";2812
"г. Питкяранта";"Лицо";"Дерево";1958
"г. Питкяранта";"Лицо";"Смешанный материал";178
"г. Питкяранта";"Лицо";"Другой материал";0
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Не указано";1727
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Кирпич, камень";14605
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Панель";4920
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Блок";7135
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Дерево";4442
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Смешанный материал";22
"Сельские населенные пункты, подчиненные администрации г. Сегежа";"Лицо";"Другой материал";143
"г. Сортавала";"Лицо";"Не указано";1001
"г. Сортавала";"Лицо";"Кирпич, камень";11729
"г. Сортавала";"Лицо";"Панель";5278
"г. Сортавала";"Лицо";"Блок";4969
"г. Сортавала";"Лицо";"Дерево";10524
"г. Сортавала";"Лицо";"Смешанный материал";471
"г. Сортавала";"Лицо";"Другой материал";203
"Всего";"Лицо";"Не указано";33449
"Всего";"Лицо";"Кирпич, камень";160719
"Всего";"Лицо";"Панель";197452
"Всего";"Лицо";"Блок";77981
"Всего";"Лицо";"Дерево";215579
"Всего";"Лицо";"Смешанный материал";12181
"Всего";"Лицо";"Другой материал";3956


"INFO";"Ячейки в этой таблице были случайно регулировать, чтобы избежать выхода конфиденциальной информации."




(c) Copyright Space-Time Research 2013
